页数,商家id,商品名称,商品价格,商品销量,商家名称,商家电话
12,732073426544,稀有小样！YSL新品黑金浮雕口红四色试色卡1971/1/11/12 带刷子,19.9,10+,小空乘的试香店,
12,672206978950,双头唇刷口红刷伸缩便携晕染专业化妆师专用高级化妆刷带盖唇膜刷,12.8,10+,友声美容工具旗舰店,
12,707168958080,Uhue甜酷黑粉&Blue Way镜面唇釉水光口红唇釉春夏女,79,10+,uhue旗舰店,18758085369
12,730905678889,棉签盒卫生间化妆棉卸妆洗脸巾收纳浴室壁挂贴墙发夹皮筋口红盒子,11.8,10+,唯夫人旗舰店,18721133343
13,720764719953,大牌不沾杯不掉色孕妇可用鲜花变色口红滋润保湿持久温变润唇膏新,69,10+,正雅格美妆店,
13,670403800454,【网红收纳款】本心本来化妆品收纳盒梳妆台抽屉口红亚克力透明盒,49,10+,本心本来旗舰店,15521301028
13,636041018059,丝芙兰伸缩唇刷便携款口红刷唇线勾勒刷唇釉刷小号唇膏笔刷化妆刷,38,10+,花信映画,16602716564
13,731922818111,迪士尼正版胶囊充电宝迷你口红小巧便携超级快充PD新款移动电源mini小型手机口袋大容量适用苹果华为小米专用,39.8,10+,可橙旗舰店,15113939373
14,538961436423,兰瑟口红官网显白水润丝绒雾唇膏釉女不易沾杯豆沙官方旗舰店正品,89,10+,兰瑟化妆品旗舰店,15908988521
14,716904078201,受受狼五月Q-49系列遮瑕刷唇刷口红刷晕染刷美妆工具按分类购买,10,10+,受受狼旗舰店,15530773216
14,691136548143,包邮姬斯汀丝绒唇釉 206口红绝美！,69.9,10+,糯米的萌兜兜,
15,721348235307,SWEETMINT线雕唇线笔裸色哑光口红笔勾勒唇形嘟嘟唇防水不易掉色,12,10,美丽俏佳人护肤品牌店,
15,678949716452,梵花不语立体耳机数据线收纳包可爱方形手拿包女便携口红包零钱包,32,10,梵花不语原创设计,
15,605304326539,专柜正品法国Dior迪奥变色润唇膏粉漾魅惑口红保湿滋润001号004号,189,10,雅尚美妆海外购,
16,722400011128,桌面收纳盒学生宿舍化妆品化妆刷口红办公桌零食遥控器抽屉置物架,39.9,9,ecoco意可可旗舰店,
16,697263824514,Joocyee酵色琥珀唇釉口红哑光唇泥复古口红秋冬滋润持久气色唇霜,54,9,小集美,{'url': 'https://hot.taobao.com:443//alliance/search/item/phone.do/_____tmd_____/punish?x5secdata=xd95e225a18bd94a9f489f1198b70fc2fb36c5406a9de8632e1698411622a-717315356a-725801209abaac2daa__bx__hot.taobao.com%3A443%2Falliance%2Fsearch%2Fitem%2Fphone.do&x5step=2&action=captcha&pureCaptcha='}
16,688453863167,【双11提前购】蜜思肤丝柔凝色哑光雾面唇釉女枫叶砖红学生口红,68,9,蜜思肤旗舰店,{'url': 'https://hot.taobao.com:443//alliance/search/item/phone.do/_____tmd_____/punish?x5secdata=xdba0f335fdc43ae8f5b7879aba11b097ed21a434d6b00b1ba1698411624a-717315356a-725801209abaac2daa__bx__hot.taobao.com%3A443%2Falliance%2Fsearch%2Fitem%2Fphone.do&x5step=2&action=captcha&pureCaptcha='}
16,599066838148,LivingNature孕妇口红纯植物怀孕期可滋润唇膏唇釉孕妇专用化妆品,238,9,LivingNature海外旗舰店,{'url': 'https://hot.taobao.com:443//alliance/search/item/phone.do/_____tmd_____/punish?x5secdata=xd591ab06e6ed283c2a2c2cfa4795cb6c4eb6166def67369891698411629a-717315356a-725801209abaac2daa__bx__hot.taobao.com%3A443%2Falliance%2Fsearch%2Fitem%2Fphone.do&x5step=2&action=captcha&pureCaptcha='}
16,552398170534,春娟春娟特润滋养润唇膏2支玫瑰补水温和防干裂口红打底无色,35,9,春娟旗舰店,{'url': 'https://hot.taobao.com:443//alliance/search/item/phone.do/_____tmd_____/punish?x5secdata=xdd2cfe1a4390e39817425e18ebfb83c61a8ab937823acbbc41698411633a-717315356a-725801209abaac2daa__bx__hot.taobao.com%3A443%2Falliance%2Fsearch%2Fitem%2Fphone.do&x5step=2&action=captcha&pureCaptcha='}
16,731096209738,化妆包女2023新款便携式随身迷你小号小型口红旅行品包内收纳袋,10.9,8,悠米雅旗舰店,{'url': 'https://hot.taobao.com:443//alliance/search/item/phone.do/_____tmd_____/punish?x5secdata=xd41ca845aeb75a90a1b449ffd859a383d95ab81687683e20f1698411637a-717315356a-725801209abaac2daa__bx__hot.taobao.com%3A443%2Falliance%2Fsearch%2Fitem%2Fphone.do&x5step=2&action=captcha&pureCaptcha='}
17,711748853078,colorkey珂拉琪小黑镜唇釉女唇彩唇蜜口红官方旗舰店正品镜面水光,29.9,8,韩小姐的化妆台,{'url': 'https://hot.taobao.com:443//alliance/search/item/phone.do/_____tmd_____/punish?x5secdata=xdeb9ef05d4f2d49e3cae0bfc91041abcd9fcd51c84ea7c2da1698411651a-717315356a-725801209abaac2daa__bx__hot.taobao.com%3A443%2Falliance%2Fsearch%2Fitem%2Fphone.do&x5step=2&action=captcha&pureCaptcha='}
17,703236204442,递欧耀金肌润温变唇膏补水不掉色口红保湿滋养水润变色润唇膏男女,69.9,8,递欧旗舰店,{'url': 'https://hot.taobao.com:443//alliance/search/item/phone.do/_____tmd_____/punish?x5secdata=xd0a1f9c868459e35d6e19add7c881813be20ba2fe3c27822f1698411654a-717315356a-725801209abaac2daa__bx__hot.taobao.com%3A443%2Falliance%2Fsearch%2Fitem%2Fphone.do&x5step=2&action=captcha&pureCaptcha='}
17,683987388470,斗合原创桌面亚克力收纳盒梳妆台精致首饰口红化妆品防尘抽屉盒子,89,8,斗合家居,{'url': 'https://hot.taobao.com:443//alliance/search/item/phone.do/_____tmd_____/punish?x5secdata=xddc0b7092696c89b255676eba767323aadbd556b898ba5bd01698411657a-717315356a-725801209abaac2daa__bx__hot.taobao.com%3A443%2Falliance%2Fsearch%2Fitem%2Fphone.do&x5step=2&action=captcha&pureCaptcha='}
17,623430752558,【3支99元】正大红中国红口红 哑光雾面不易脱色 孕妇哺乳期可用,49,8,妆点视界01,{'url': 'https://hot.taobao.com:443//alliance/search/item/phone.do/_____tmd_____/punish?x5secdata=xd7f29c9b0d25327b5c08edae3219d56bf215f48f81a1619651698411659a-717315356a-725801209abaac2daa__bx__hot.taobao.com%3A443%2Falliance%2Fsearch%2Fitem%2Fphone.do&x5step=2&action=captcha&pureCaptcha='}
17,731028313806,AKF唇泥送唇刷m07m02唇釉平价学生款雾面哑光口红m23m20m17m15m11,29.9,7,划算林美妆,{'url': 'https://hot.taobao.com:443//alliance/search/item/phone.do/_____tmd_____/punish?x5secdata=xd2644dae616bf08ba4a0cc1d6063d5b144f9a9b1be5e264ac1698411663a-717315356a-725801209abaac2daa__bx__hot.taobao.com%3A443%2Falliance%2Fsearch%2Fitem%2Fphone.do&x5step=2&action=captcha&pureCaptcha='}
17,728241632960,亚克力化妆品收纳盒化妆刷口红粉饼护肤品收纳筒桌面透明分格笔筒,17.9,7,缤纷屋萌物馆,
18,743355753432,【MIMIgo全球严选】情人节限定纯欲色口红1.5g*2,99,6,mimigo2号店,{'url': 'https://hot.taobao.com:443//alliance/search/item/phone.do/_____tmd_____/punish?x5secdata=xd7476a19341d070d5d6ea2eb754692fb0fefb15a3a78eeeed1698411711a-717315356a-725801209abaac2daa__bx__hot.taobao.com%3A443%2Falliance%2Fsearch%2Fitem%2Fphone.do&x5step=2&action=captcha&pureCaptcha='}
18,742901186790,头层牛皮小象零钱包女钥匙包真皮拉链手挽包口红收纳包ins潮卡包,38.98,6,皮曼巴原创手工皮具,{'url': 'https://hot.taobao.com:443//alliance/search/item/phone.do/_____tmd_____/punish?x5secdata=xdce25f66588a5b5e915a7c82ac4ba6f6e23b10831d49df1721698411714a-717315356a-725801209abaac2daa__bx__hot.taobao.com%3A443%2Falliance%2Fsearch%2Fitem%2Fphone.do&x5step=2&action=captcha&pureCaptcha='}
18,696976833311,【秋冬新色】菲鹿儿浮蝶哑光唇釉雾面丝绒慕斯口红不沾杯持久显白,69,6,focallure旗舰店,{'url': 'https://hot.taobao.com:443//alliance/search/item/phone.do/_____tmd_____/punish?x5secdata=xdfe94ce8d79911ab296c8b31fef21714c11a529a1cc75dc4a1698411717a-717315356a-725801209abaac2daa__bx__hot.taobao.com%3A443%2Falliance%2Fsearch%2Fitem%2Fphone.do&x5step=2&action=captcha&pureCaptcha='}
19,670418800782,口红官方正品大牌三色口红不脱色不掉色不沾杯防水哑光显白唇膏湿,68,6,奕伊美妆,
19,602327187111,SunniesFace官方正品口红轻欧美裸色口红丝绒哑光唇膏不沾杯品牌,85,6,SunniesFace海外旗舰店,
19,740193527306,迪士尼胶囊充电宝超薄小巧便携快充无线迷你手机充电宝新款口红小型口袋可爱mini随身充电宝移动电源自带线,55,5,ohgo旗舰店,13612724364
20,678411048445,匠心绣亮唇蜜水雾唇露唇釉女唇彩唇蜜镜面水光口红平价学生夏滋养,39.9,5,meizhixiu旗舰店,
